#GeneID	Ensembl_gene_identifier	RefSeqGene	RNA_nucleotide_accessions
79441	ENSG00000214367	-	NM_001303143,NM_024511
79442	ENSG00000163827	NG_021214	NM_024512,XM_011534110,XM_017007177,XR_001740264
79443	ENSG00000163820	NG_031955	NM_001386421,NM_001386422,NM_001386423,NM_001386424,NM_001386425,NM_001386426,NM_001386427,NM_001386428,NM_001386429,NM_001386430,NM_024513,NR_170107,XM_006713333,XM_006713334,XM_011534111,XR_001740265,XR_245157
79444	ENSG00000101197	NG_029552	NM_022161,NM_139317
79446	ENSG00000176473	NG_053195	NM_001161476,NM_001350947,NM_001350948,NM_001350949,NM_001387351,NM_024515,XM_005268057,XM_011537151
79447	ENSG00000280789	-	NM_024516
79465	ENSG00000131019	-	NM_024518
79473	ENSG00000181001	-	NM_001001913
79476	ENSG00000255466	-	-
79482	ENSG00000272987	-	NM_001348230,NR_145506
79488	ENSG00000213182	-	-
79490	ENSG00000198674	-	NM_001355219
79492	ENSG00000179170	-	-
79494	ENSG00000255134	-	-
79498	ENSG00000255461	-	-
79501	ENSG00000186092	-	NM_001005484
79504	ENSG00000268020	-	-
79508	ENSG00000254490	-	-
79512	ENSG00000254603	-	-
79513	ENSG00000227445	-	-
79514	ENSG00000203758	-	-
79518	ENSG00000230416	-	-
79521	ENSG00000237354	-	-
79525	ENSG00000225003	-	-
79526	ENSG00000184789	-	-
79529	ENSG00000230261	-	-
79530	ENSG00000254925	-	-
79532	ENSG00000227023	-	-
79533	ENSG00000226157	-	-
79534	ENSG00000254841	-	-
79537	ENSG00000188668	-	-
79538	ENSG00000273423	-	-
79541	ENSG00000180658	-	NM_030908
79544	ENSG00000155249	-	NM_001004063,XM_011537153
79549	ENSG00000255804	-	NM_001348233
79567	ENSG00000039523	-	NM_001193522,NM_001193523,NM_001193524,NM_024519,XM_011523321,XM_011523322,XM_011523324,XM_011523325,XM_011523326,XM_017023663,XM_017023664,XM_024450442,XM_024450443
79568	ENSG00000162972	-	NM_001369399,NM_024520,NR_161377
79570	ENSG00000084628	-	NM_024522,XM_017002320
79571	ENSG00000179562	-	NM_024523
79572	ENSG00000133657	-	NM_001367549,NM_001374836,NM_024524,NR_164666,NR_164667,XM_005269357,XM_011513121,XM_011513123,XM_011513124
79573	ENSG00000143643	-	NM_001122835,NM_001376507,NM_001376508,NM_001376509,NM_001376510,NM_001376511,NM_001376512,NM_001376513,NM_001376514,NM_024525,XM_005273264,XM_006711814,XM_006711815,XM_011544276,XM_017002325,XR_001737405
79574	ENSG00000198758	-	NM_001319952,NM_024526,NM_133181,NM_139053,XM_011542132,XM_011542133,XM_011542134,XM_011542135,XM_017002327,XM_017002328,XM_017002329,XR_001737406,XR_001737407
79575	ENSG00000127220	-	NM_024527
79576	ENSG00000101882	NG_021260	NM_024528,XM_017029842
79577	ENSG00000134371	NG_012691	NM_024529,XM_006711537
79581	ENSG00000185803	NG_032872	NM_001253815,NM_001253816,NM_001363118,NM_001363120,NM_001363121,NM_001363122,NM_024531,NR_045600,XM_011517300,XM_017013821,XM_017013822
79582	ENSG00000144451	-	NM_001025436,NM_024532,NR_047659,NR_047660,XM_006712746,XM_011511814,XM_011511815,XM_011511816,XM_011511817,XM_011511818,XM_011511819,XM_011511820,XM_011511821,XM_011511822,XM_011511823,XM_011511824,XM_011511827,XM_011511828,XM_011511829,XM_011511831,XM_011511832,XM_011511837,XM_017004896,XM_017004897,XM_017004898,XM_017004899,XM_024453140
79583	ENSG00000205084	NG_033109	NM_001077416,NM_001077418,NR_074083
79585	ENSG00000262246	NG_052966	NM_001201472,NM_001201473,NM_001351729,NM_024535
79586	ENSG00000123989	-	NM_001195731,NM_024536,XM_011511838
79587	ENSG00000134905	NG_042045	NM_001352252,NM_001352253,NM_024537,NR_147941,NR_147942,XM_006719953,XM_011521116,XM_011521117,XM_011521118,XM_017020741,XM_017020742,XM_024449409,XR_001749664,XR_001749665,XR_001749666,XR_001749667,XR_001749668,XR_002957472,XR_243047,XR_243048,XR_243049,XR_243051
79589	ENSG00000133135	NG_012576	NM_024539,NM_194463
79590	ENSG00000143314	-	NM_024540,NM_145729,XM_011509981,XM_011509982
79591	ENSG00000120029	-	NM_024541,XM_006717969,XM_011540151,XM_011540152,XM_011540153,XM_011540154,XM_011540156,XM_011540157,XM_017016635,XM_017016636,XR_001747199,XR_001747200,XR_001747201,XR_001747202
79594	ENSG00000090432	-	NM_024544,XM_011542137
79595	ENSG00000136715	-	NM_001145928,NM_001330299,NM_001330300,NM_001330301,NM_001330302,NM_001330303,NM_024545,XM_005263767,XM_005263769,XM_006712748,XM_006712749,XR_923026
79596	ENSG00000152193	-	NM_024546,XM_011535225,XM_024449410
79598	ENSG00000182504	-	NM_001303401,NM_024548,XM_006713743,XM_011513127,XM_017007178
79600	ENSG00000204852	NG_030381	NM_001082537,NM_001082538,NM_001173975,NM_001173976,NM_001319680,NM_001319681,NM_001319682,NM_024549,NR_135088,XM_005253934,XM_005253935,XM_006719594,XM_006719595,XM_006719596,XM_006719597,XM_006719598,XM_006719599,XM_006719600,XM_011538733,XM_011538734,XM_011538735,XM_011538737,XM_011538738,XM_017019964,XM_017019966,XM_017019968,XM_017019969,XR_243021,XR_243022,XR_429116,XR_944717
79602	ENSG00000006831	-	NM_001375363,NM_001375364,NM_001375365,NM_024551,XM_006719018,XM_011521024
79603	ENSG00000090661	-	NM_024552,XM_011528290,XM_011528291,XM_011528292,XM_011528293,XM_011528294,XM_011528295,XM_017027303,XM_017027304,XM_017027305,XM_024451719,XR_001753762,XR_002958360
79605	ENSG00000177614	-	NM_001258311
79607	ENSG00000197798	NG_017156	NM_001330446,NM_024556,XM_011542977,XM_011542978,XM_017018285,XM_017018286
79608	ENSG00000166405	NG_030416	NM_001135109,NM_001206671,NM_001206672,NM_001346690,NM_001346691,NM_001346692,NM_001346693,NM_001346694,NM_024557,NR_144484,NR_144485,NR_144497,XM_006718317,XM_006718318,XM_006718321,XM_017018287,XM_024448684,XM_024448685,XM_024448686,XR_001747957,XR_001747959,XR_002957192,XR_002957193,XR_002957194,XR_002957195,XR_428848,XR_428851,XR_930896,XR_930897,XR_930898,XR_930900,XR_930901,XR_930903,XR_930904,XR_930905
79609	ENSG00000100483	-	NM_001040662,NM_024558,NR_049738,NR_049739,XM_005268060,XM_017021640,XM_017021641,XM_024449709,XR_001750551,XR_001750552,XR_943531,XR_943532
79611	ENSG00000111058	-	NM_001330242,NM_001330243,NM_024560,XM_005269151,XR_944720
79612	ENSG00000172766	-	NM_001110798,NM_018527,NM_024561,XM_005266523,XM_006719866,XM_011535227,XM_011535228,XM_017020744,XM_017020745,XM_017020746,XR_001749669,XR_001749670,XR_001749671,XR_001749673,XR_001749675,XR_002957473
79613	ENSG00000103047	-	NM_024562,XM_011523327
79616	ENSG00000135083	-	NM_001308173,NM_024565,NR_131769,XM_006714917,XM_011534646,XM_011534647,XM_017009847,XM_017009848,XR_427810,XR_427811
79618	ENSG00000147421	-	NM_001135726,NM_001324382,NM_001324383,NM_001324384,NM_001324385,NM_001324386,NM_001324387,NM_001324388,NM_001324389,NM_001324390,NM_001324391,NM_001324392,NM_001324393,NM_001324394,NM_001324395,NM_001330498,NM_024567,NR_136757,NR_136758,XM_005273641,XM_006716398,XM_011544642,XM_017013823,XM_017013824,XM_017013825,XM_024447269,XR_001745588,XR_001745589,XR_001745590,XR_001745591,XR_001745592,XR_001745593,XR_001745594,XR_001745595
79621	ENSG00000136104	NG_009055	NM_001142279,NM_024570,XM_006719867,XM_011535229,XM_011535230,XM_011535231,XM_011535233,XM_017020747
79622	ENSG00000161981	NG_017004	NM_024571
79623	ENSG00000158089	NG_051040	NM_001253826,NM_001253827,NM_001329095,NM_001329096,NM_001329097,NM_024572,XM_017004906,XM_017004907,XR_001738941,XR_001738942,XR_001738943
79624	ENSG00000146476	-	NM_001286562,NM_024573
79625	ENSG00000173376	-	NM_024574,XM_024454212,XM_024454213
79626	ENSG00000163154	-	NM_024575
79627	ENSG00000119900	-	NM_001324266,NM_024576,XM_011536117,XM_011536118,XM_017011303,XM_017011304,XM_017011305,XM_017011306
79628	ENSG00000169247	NG_007947	NM_024577
79629	ENSG00000099330	-	NM_024578,XM_005260079,XM_006722899,XM_017027306
79630	ENSG00000118292	-	NM_001301039,NM_001301040,NM_001301041,NM_001301042,NM_024579,XM_011509984,XM_024449801,XM_024449802
79631	ENSG00000140598	-	NM_001040610,NM_001322844,NM_001322845,NM_024580,NR_136410,XM_011522000,XM_024450048
79632	ENSG00000111879	-	NM_001100411,NM_001288576,NM_024581
79633	ENSG00000196159	NG_033865	NM_001291285,NM_001291303,NM_024582,XM_011532237
79634	ENSG00000144306	-	NM_001193528,NM_024583,XM_005246853,XM_005246854,XM_005246855,XM_005246856,XM_005246857,XM_011511839,XM_017004910
79635	ENSG00000176714	-	NM_001142683,NM_024584,XM_005264560
79637	ENSG00000125449	-	NM_001304271,NM_001304272,NM_001304273,NM_024585,XR_002958068
79639	ENSG00000126106	-	NM_001300746,NM_001300747,NM_001300748,NM_024587,XM_011542138
79640	ENSG00000184208	-	NR_160905
79641	ENSG00000067836	NG_032174	NM_024589,NR_046480,XM_006720947,XM_006720948
79642	ENSG00000180801	-	NM_001354210,NM_001354211,NM_024590,XM_011532238,XM_011532239,XM_017008592,XM_017008593,XM_017008594,XM_017008595,XM_017008597,XM_017008598,XM_017008599,XM_017008600,XM_024454214,XM_024454215,XM_024454216
79643	ENSG00000176108	-	NM_024591,XM_005257668
79644	ENSG00000128039	NG_028230	NM_024592,XM_005265766,XM_005265767,XM_017008601
79645	ENSG00000034239	-	NM_001142857,NM_001363973,NM_001363974,NM_024593,NR_024605,NR_157026,NR_157027,XM_005251303,XM_011517589,XM_011517591,XM_017013827,XM_017013828,XM_024447270,XM_024447271,XM_024447272,XM_024447273,XM_024447274,XR_002956645
79646	ENSG00000120137	-	NM_024594
79647	ENSG00000174574	-	NM_001136275,NM_024595
79648	ENSG00000147316	NG_016619	NM_001172574,NM_001172575,NM_001322042,NM_001322043,NM_001322045,NM_001363979,NM_001363980,NM_024596,NR_136159,XM_011534755,XM_011534756,XM_011534757,XM_011534758,XM_011534759,XM_011534760,XM_017013829,XM_017013831,XM_017013832,XM_017013833,XR_001745596
79649	ENSG00000129680	NG_016801	NM_001173516,NM_001173517,NM_024597,XM_005262472,XM_017029843,XM_024452448
79650	ENSG00000103005	NG_027698	NM_001195302,NM_001204911,NM_001330568,NM_001330569,NM_024598
79651	ENSG00000129667	NG_032852	NM_001005498,NM_001376228,NM_001376229,NM_001376230,NM_024599,NR_164785,NR_164786,NR_164787,XM_005257669,XM_011525249,XM_011525250,XM_011525251,XR_001752625
79652	ENSG00000131634	-	NM_001256541,NM_024600
79654	ENSG00000126107	NG_033058	NM_024602,XM_024449803
79656	ENSG00000162373	NG_053063	NM_001302082,NM_001349793,NM_001349794,NM_001349795,NM_024603,NR_146232,XM_011542141,XM_011542142,XM_017002331,XM_017002333,XR_001737408
79657	ENSG00000005175	-	NM_001146075,NM_001146076,NM_024604
79658	ENSG00000071205	-	NM_024605,XM_005263215,XM_017008602,XR_001741324
79659	ENSG00000187240	NG_016423	NM_001080463,NM_001377,XM_006718903,XM_017018291,XM_017018292,XM_017018293
79660	ENSG00000173281	NG_028089	NM_001201329,NM_024607,XM_006716253,XM_017013835
79661	ENSG00000140398	-	NM_001256552,NM_001352519,NM_001352520,NM_024608,NR_046311,XM_005254659,XM_006720677,XM_006720678,XM_006720679,XM_006720680,XM_011522001,XM_011522002,XM_011522003,XM_011522004,XM_011522005,XM_011522006,XM_011522007,XM_011522008,XM_017022566,XM_017022567,XM_017022568,XR_001751384,XR_001751385,XR_002957677,XR_002957679,XR_002957680,XR_002957681,XR_002957682,XR_243127,XR_429472
79663	ENSG00000169087	NG_030032	NM_001320728,NM_024610,XM_005247762,XM_011513130,XM_011513132,XM_017007179,XM_017007180,XR_001740266,XR_001740267
79664	ENSG00000128915	NG_054881	NM_001018089,NM_001276385,NM_024611,NR_147171,XM_005254661,XM_005254662,XM_011522009,XM_011522010,XM_011522011,XM_017022569,XM_024450051,XR_001751386,XR_931902,XR_931903
79665	ENSG00000108406	-	NM_001166301,NM_024612,XM_006722083,XM_011525253,XM_011525254,XM_017025080,XM_017025081,XM_017025082,XM_017025083
79666	ENSG00000175895	-	NM_024613
79668	ENSG00000151883	-	NM_001178055,NM_001178056,NM_001331028,NM_024615,XM_005248596,XM_011543631,XM_011543632,XM_011543633,XM_011543634,XM_011543635,XM_011543636,XM_011543640,XM_011543641,XM_011543642,XM_011543643,XM_017009851,XM_024446206,XR_002956178
79669	ENSG00000114529	-	NM_001171747,NM_024616,XR_924171
79670	ENSG00000083223	-	NM_001185059,NM_001185074,NM_001330718,NM_024617,XM_005252207,XM_005252208,XM_006717283,XM_011519011,XM_011519012,XM_011519013,XM_011519014,XM_011519015,XM_011519016,XM_017015130,XM_017015131,XM_024447671,XM_024447672,XR_001746379,XR_001746380
79671	ENSG00000160703	NG_047185	NM_001282143,NM_001282144,NM_001282358,NM_024618,XM_005271669,XM_005271670,XM_005271671,XM_005271672,XM_006718904,XM_011542980,XM_017018294
79672	ENSG00000141560	-	NM_024619,NR_046408,XM_024450948
79673	ENSG00000181894	-	NM_024620,XM_006723381,XM_006723382,XM_006723383,XM_006723384,XM_011527310,XM_011527311,XM_011527312,XM_011527313,XM_011527314,XM_011527315,XM_011527316,XM_017027307,XM_017027308,XM_017027309,XM_017027310,XM_017027311
79674	ENSG00000197415	-	NM_001167911,NM_001167912,NM_001167915,NM_001167916,NM_001167917,NM_024621,XM_011513134,XM_011513135,XM_024453746,XM_024453747,XM_024453748,XM_024453749,XM_024453750
79675	ENSG00000138399	-	NM_001281476,NM_001322046,NM_001322048,NM_001322049,NM_024622,NR_104020,XM_006712750,XM_006712751,XM_017004911,XM_017004912
79676	ENSG00000111325	-	NM_001304833,NM_001304834,NM_001304835,NM_001304836,NM_001304837,NM_001304838,NM_024623
79677	ENSG00000163029	-	NM_001142286,NM_024624,XM_011533107,XM_011533108,XM_017004913,XM_017004914,XM_017004915,XM_017004916,XR_939716
79679	ENSG00000134258	-	NM_001253849,NM_001253850,NM_024626,NR_045603,NR_045604,XM_011542143,XM_017002335
79680	ENSG00000215012	-	NM_024627
79682	ENSG00000151725	-	NM_024629,NR_104593,XM_005263218
79683	ENSG00000175048	-	NM_024630,NM_153746,XM_005267146,XM_011536120,XM_011536123,XM_017011307,XM_017011308,XM_017011309,XM_017011310,XM_017011311,XM_017011312
79684	ENSG00000120458	-	NM_001308027,NM_001312919,NM_001312920,NM_001312921,NM_001352400,NM_001352401,NM_024631,XM_005271674,XM_006718905,XM_006718906,XM_011542981,XM_011542982,XM_017018296,XM_017018297,XM_017018298,XR_002957196
79685	ENSG00000164576	-	NM_001131062,NM_001131063,NM_024632,NR_024084,XR_001742260
79689	ENSG00000127954	NG_028313	NM_001205315,NM_001205316,NM_024636
79690	ENSG00000197093	-	NM_024637
79691	ENSG00000151576	-	NM_001256835,NM_001256836,NM_001256837,NM_024638,XM_005247769,XM_005247770,XM_006713744,XM_011513137,XM_017007182,XM_017007183,XM_017007184,XR_001740268,XR_002959585
79692	ENSG00000181315	-	NM_001242797,NM_001242798,NM_001242799,NM_024639
79693	ENSG00000196449	-	NM_024640
79694	ENSG00000172469	-	NM_024641,XM_005267147
79695	ENSG00000119514	NG_028218	NM_024642,XM_006717287,XM_011519018,XM_011519020,XM_017015133,XM_024447673
79696	ENSG00000119703	-	NM_001042430,NM_001330191,NM_024643,NR_110315,XM_005268062,XM_005268063,XM_011537155,XM_011537156,XM_011537157,XM_017021643,XM_017021644,XM_017021645,XM_024449710,XM_024449711
79697	ENSG00000170468	-	NM_024644
79698	ENSG00000165061	-	NM_001135731,NM_024645,XM_017013836,XM_017013837,XM_017013838,XM_017013840,XM_024447275,XM_024447276,XM_024447277
79699	ENSG00000162378	-	NM_024646,XM_006710898,XM_017002336
79701	ENSG00000181396	-	NM_024648,NM_175902,NR_033265,XR_001752626,XR_002958069,XR_430034,XR_933942
79703	ENSG00000173715	-	NM_001302084,NM_024650
79705	ENSG00000154237	NG_052791	NM_024652,XM_005254979,XM_011522012,XM_011522013,XM_011522014,XM_011522015,XM_011522016,XM_011522017,XM_011522018,XM_011522019,XM_017022570,XR_931905
79706	ENSG00000128563	-	NM_024653
79707	ENSG00000162408	-	NM_024654,XM_005263493,XM_011542147,XM_017002337,XM_017002338,XM_017002339
79709	ENSG00000130309	-	NM_024656,XM_005260080,XM_011528297,XM_011528298,XM_011528299
79710	ENSG00000133131	NG_016392	NM_001085354,NM_024657,XM_005262190,XM_006724691,XM_011531027,XM_017029844
79711	ENSG00000196497	-	NM_024658,NR_051979
79712	ENSG00000121964	-	NM_001006636,NM_001164629,NM_001284233,NM_001284234,NM_001284235,NM_001284238,NM_001354350,NM_001354351,NM_001354352,NM_001354353,NM_001354354,NM_001354355,NM_001354356,NM_001354358,NM_001354360,NM_001354361,NM_001354362,NM_001376306,NM_001376307,NM_001376308,NM_001376309,NM_001376310,NM_001376311,NM_001376312,NM_001376313,NM_001376314,NM_001376315,NM_001376316,NM_001376317,NM_001376318,NM_001376319,NM_001376320,NM_001376321,NM_001376322,NM_001376323,NM_001376324,NM_001376325,NM_001376326,NM_001376327,NM_001376328,NM_001376329,NM_001376330,NM_001376331,NM_001376332,NM_024659,NR_148872,NR_164799,NR_164800,NR_164801,NR_164802,NR_164803,NR_164804,NR_164805,NR_164806,NR_164807,NR_164808,NR_164809,XM_005263784,XM_011511843,XM_011511855,XM_011511856,XM_017004918,XM_017004920,XM_017004921,XM_017004922,XM_017004923,XM_017004925,XM_017004926,XM_017004934,XM_017004935,XM_017004936,XM_017004937,XM_017004938,XM_017004939,XM_017004940,XM_017004941,XM_017004942,XM_017004944,XM_017004948,XM_017004949,XM_017004956,XM_017004957,XM_024453141,XM_024453142,XM_024453143,XM_024453144,XM_024453145,XM_024453146,XM_024453147,XM_024453148,XM_024453149
79713	ENSG00000126246	-	NM_001346003,NM_001346004,NM_001346005,NM_001346006,NM_024660,NR_144338,NR_144339,NR_144340,NR_144341,NR_144342
79714	ENSG00000164051	-	NM_001256964,NM_001256965,NM_001256966,NM_001256967,NM_001256968,NM_001256969,NM_024661,XM_011534113
79716	ENSG00000215440	-	NM_001204872,NM_001204873,NM_024663
79717	ENSG00000127125	-	NM_001077447,NM_001287506,NM_001287507,NM_001287508,NM_001287509,NM_001287510,NM_001287511,NM_024664
79718	ENSG00000177565	NG_047195	NM_001321193,NM_001321194,NM_001321195,NM_001374327,NM_001374328,NM_001374329,NM_001374330,NM_024665,XM_006713746,XM_011513141,XM_011513142,XM_011513143,XM_024453751,XM_024453752
79719	ENSG00000103591	NG_033007	NM_001271885,NM_001271886,NM_024666,XM_011522020,XM_024450052,XM_024450053
79720	ENSG00000139722	-	NM_024667,XM_005253622,XM_006719602,XM_011538743,XM_011538745,XM_017019970,XM_017019971,XM_017019972
79722	ENSG00000164512	-	NM_024669,XM_011543646,XM_017009852,XM_017009853,XM_017009854
79723	ENSG00000152455	-	NM_001193424,NM_001193425,NM_001193426,NM_001193427,NM_024670,NR_034181,XM_006717503,XM_011519662,XM_017016637
79724	ENSG00000169957	-	NM_024671,XM_017023665,XM_017023666
79725	ENSG00000168152	-	NM_001317776,NM_024672,XM_005263220,XM_011532246,XM_017008609,XR_001741325,XR_001741326
79726	ENSG00000103091	-	NM_001324171,NM_001324172,NM_030581,XM_005256146,XM_011523332,XM_017023667,XM_017023668,XM_017023669,XM_017023670,XM_024450445,XM_024450446,XR_933430
79727	ENSG00000131914	-	NM_024674,XM_011542148
79728	ENSG00000083093	NG_007406	NM_024675,XM_011545946,XM_011545947,XM_011545948,XM_017023671,XM_017023672,XM_017023673
79729	ENSG00000214193	-	NM_001162530,NM_024676,XM_011542153,XM_017002340,XM_017002341,XM_017002342,XM_017002343,XM_017002344,XM_017002345,XM_017002346
79730	ENSG00000179299	-	NM_001330648,NM_024677,XM_017008611,XM_017008612,XM_017008613,XM_017008615
79731	ENSG00000137513	NG_042046	NM_001243251,NM_024678,XM_011545253,XM_017018302,XM_017018303,XM_017018304,XR_001747963,XR_001747964,XR_001747965,XR_001747966
79733	ENSG00000129173	-	NM_001256371,NM_001256372,NM_024680,XM_011520367,XR_930907
79734	ENSG00000100379	NG_052003	NM_001282684,NM_001282685,NM_001282686,NM_024681,XM_005261741,XM_005261742,XM_005261743,XM_005261744,XM_011530374,XM_011530377,XR_001755296,XR_937917
79735	ENSG00000104946	-	NM_001168222,NM_024682,XM_011527317
79736	ENSG00000172171	-	NM_024683,XM_006722084
79738	ENSG00000179941	NG_016357	NM_024685
79739	ENSG00000137941	-	NM_001350214,NM_001350215,NM_024686,XM_011542159,XM_017002349,XM_024449807,XR_001737409,XR_001737410,XR_001737411,XR_001737412,XR_001737413,XR_001737414,XR_001737415,XR_946758,XR_946760
79740	ENSG00000169064	-	NM_001199201,NM_001199202,NM_001377489,NM_024687,XM_011513144,XM_011513145,XM_011513148,XM_011513149,XM_011513151,XM_011513152,XM_011513153,XM_011513155,XM_011513156,XM_017007186,XM_017007187,XM_017007188,XM_017007189,XM_024453753,XR_001740269,XR_924172,XR_924173,XR_924174,XR_924177
79741	ENSG00000216937	-	NM_001026383,NM_001321115,NM_145023,NR_109826,NR_109827,XM_005252593,XM_006717505,XM_006717506,XM_011519663,XM_011519664,XM_011519666,XM_011519667,XM_011519668,XM_011519669,XM_011519670,XM_011519671,XM_011519672,XM_011519673,XM_011519674,XM_011519675,XM_011519676,XM_011519677,XM_011519678,XM_011519679,XM_011519680,XM_011519683,XM_011519684,XM_011519685,XM_011519686,XM_011519687,XM_011519688,XM_017016638,XM_017016639,XM_017016640,XM_017016641,XM_017016642,XM_017016643,XM_017016644,XM_017016646,XM_017016647,XM_017016648,XM_017016649,XM_017016650,XM_017016651,XM_017016652,XM_017016653,XM_024448165,XM_024448166,XM_024448167,XM_024448168,XM_024448169,XM_024448170
79742	ENSG00000147113	NG_027895	NM_024689,NM_176819,XM_005272670,XM_006724559
79744	ENSG00000105136	NG_054882	NM_001098491,NM_001098492,NM_001098493,NM_001098494,NM_001098495,NM_001098496,NM_001291743,NM_001291744,NM_001291745,NM_024691,XM_024451720
79745	ENSG00000115295	-	NM_001287527,NM_001287528,NM_024692,NR_109844,XM_005264562,XM_005264563,XM_006712104,XM_006712105,XM_011533109,XM_011533110,XM_017004958,XM_017004959,XR_001738944,XR_002959339,XR_939717,XR_939718,XR_939719
79746	ENSG00000134463	-	NM_024693,XM_011519689
79747	ENSG00000118492	-	NM_024694
79748	ENSG00000140506	NG_052659	NM_021819
79750	ENSG00000151789	-	NM_024697,XM_011534122,XM_011534123,XM_011534124,XM_017007191,XM_017007192,XM_017007193,XM_017007194,XM_017007195,XM_017007196,XM_017007197,XM_017007198,XM_017007199,XM_017007200,XM_017007201,XM_017007202,XM_017007203,XM_024453754
79751	ENSG00000177542	NG_023407	NM_001191060,NM_001191061,NM_024698,XM_011520369,XM_011520370,XM_011520371,XM_024448687,XM_024448688,XM_024448689
79752	ENSG00000104231	-	NM_001170796,NM_001170797,NM_024699,NR_033193,NR_033194,NR_033195,NR_033196
79753	ENSG00000163877	NG_032170	NM_024700
79754	ENSG00000196372	-	NM_024701,NR_024581,NR_037164
79755	ENSG00000141579	NG_011604	NM_024702
79758	ENSG00000102796	-	NM_001031719,NM_001270424,NM_001377533,NM_001377929,NM_001377930,NM_001377931,NM_001377932,NM_001377933,NM_024705,NR_165330,NR_165332,NR_165333
79759	ENSG00000167394	-	NM_001172668,NM_001172669,NM_001172670,NM_024706
79760	ENSG00000142252	-	NM_001007269,NM_001007270,NM_001319054,NM_001319055,NM_024707,XM_005259262,XM_005259263,XM_017027312
79762	ENSG00000162817	-	NM_024709
79763	ENSG00000063241	-	NM_001136201,NM_001136202,NM_024710
79767	ENSG00000102890	-	NM_024712,XM_024450447
79768	ENSG00000134152	-	NM_024713,XM_005254668,XM_017022571,XM_017022572,XM_017022573,XM_017022574,XM_017022575
79770	ENSG00000113621	NG_053174	NM_001350735,NM_024715
79772	ENSG00000175471	-	NM_001002796,NM_001297777,NM_024717,XM_005272082,XM_005272090,XM_006714692,XM_011543649,XM_011543650,XM_017009855,XM_017009856,XM_017009857,XM_017009858,XM_017009859,XM_017009860,XM_017009861,XM_017009862,XM_017009863,XM_017009864,XM_017009865,XR_001742264,XR_001742266,XR_001742267
79774	ENSG00000139835	-	NM_001286732,NM_001286733,NM_024719,XM_005268333,XM_011537521,XM_011537522,XM_017020755,XM_017020756,XR_944280
79776	ENSG00000091656	-	NM_024721,XM_011517592,XM_011517593,XM_011517594,XM_011517595,XM_011517596,XM_011517597,XM_017013845
79777	ENSG00000181513	-	NM_001135705,NM_001135706,NM_001135707,NM_001321352,NM_001321353,NM_001378111,NM_001378112,NM_024722,XM_006722085,XM_011525259,XM_011525261,XM_017025084,XM_017025085,XM_017025086,XM_017025087,XM_017025088,XM_017025089,XM_017025090,XM_017025091,XM_017025092,XM_017025093,XM_017025095,XM_017025096,XM_017025097,XM_017025098,XM_017025099,XM_017025100,XM_017025101,XM_024450949
79778	ENSG00000164877	-	NM_182924,XM_011515520,XM_011515522,XM_011515524,XM_024446932,XR_001744875,XR_002956487,XR_926947
79780	ENSG00000149231	-	NM_001318736,NM_001318737,NM_001363594,NM_024725,XM_005274292,XM_006718911,XM_011542984,XM_011542987,XM_011542988,XM_017018307,XM_017018310,XM_024448690,XM_024448691,XM_024448692,XM_024448693,XM_024448694
79781	ENSG00000132321	-	NM_001270584,NM_001270585,NM_024726,NR_073043,XM_011511864,XM_011511865,XM_011511866,XM_017004960
79782	ENSG00000114248	-	NM_001277127,NM_001277128,NM_024727,XM_011513158,XM_011513159,XM_011513160,XM_017007204
79783	ENSG00000175600	NG_023422	NM_001193311,NM_001193312,NM_001193313,NM_024728,XM_006715775,XM_011515525,XM_011515526,XM_011515527,XM_011515528,XM_011515529,XM_011515530,XM_017012621,XM_017012622
79784	ENSG00000105357	NG_011645	NM_001077186,NM_001145809,NM_024729,XM_006723386,XM_011527320,XM_011527321,XM_011527323,XM_024451721
79785	ENSG00000111404	NG_052618	NM_001286201,NM_024730,NR_104413
79786	ENSG00000135686	-	NM_001303451,NM_024731,XM_005256149,XR_001751986,XR_933433
79788	ENSG00000197497	-	NM_001353457,NM_001353458,NM_001353459,NM_024733,XM_011527325
79789	ENSG00000165959	-	NM_024734,XM_011537158,XM_011537159,XM_017021646,XM_017021647,XR_001750558,XR_245721,XR_429330,XR_429332
79791	ENSG00000103264	NG_047196	NM_001282683,NM_024735
79792	ENSG00000104518	-	NM_001166237,NM_024736,XM_011517301
79794	ENSG00000111412	-	NM_001353623,NM_001353624,NM_001353625,NM_024738,XM_024449189
79796	ENSG00000086848	NG_009210	NM_001077690,NM_001077691,NM_001077692,NM_001352409,NM_001352410,NM_001352411,NM_001352412,NM_001352413,NM_001352414,NM_001352415,NM_001352416,NM_001352417,NM_001352418,NM_001352419,NM_001352420,NM_001352421,NM_001352422,NM_001352423,NM_024740,NR_147984,XM_005277723,XM_006718913,XM_011542992,XM_017018313,XM_017018314,XM_024448695,XR_001747967,XR_001747968,XR_001747969,XR_001747970,XR_001747971,XR_001747972,XR_001747973,XR_001747974,XR_001747975,XR_001747976,XR_001747977,XR_001747979,XR_001747980,XR_947863,XR_947864,XR_947865
79797	ENSG00000175213	NG_052967	NM_001184751,NM_024741
79798	ENSG00000140691	NG_034258	NM_001105247,NM_001288767,NM_001301820,NM_024742,XM_006721091,XM_024450448,XM_024450449
79799	ENSG00000135220	-	NM_024743,NR_024010,XM_011532247
